"Genus","MeanDecreaseGini","Group"
"g__[Eubacterium]_ruminantium_group",0.919286438190523,"HC"
"g__Clostridia_UCG-014",1.15986608102601,"Gout"
"g__Holdemanella",1.90563752635035,"Gout"
"g__Christensenellaceae_R-7_group",2.05892640403759,"HC"
"g__[Clostridium]_innocuum_group",2.1175599715374,"Gout"
"g__UCG-005",2.30423490391222,"Gout"
"g__Weissella",2.35876614744679,"HUA"
"g__Hungatella",2.40199441224732,"Gout"
"g__Catenibacterium",2.45972058169602,"HC"
"g__NK4A214_group",2.51333967567448,"Gout"
"g__Coprobacter",2.57811118629444,"HUA"
"g__Howardella",2.69428339474385,"Gout"
"g__UCG-003",3.15494588749089,"HC"
"g__Erysipelatoclostridium",3.20893160324258,"Gout"
"g__UCG-002",3.39427929513513,"HC"
"g__Butyricimonas",3.5869961587361,"HUA"
"g__Lactococcus",3.67189487968978,"Gout"
"g__Atopobium",3.69227613843527,"Gout"
"g__Erysipelotrichaceae_UCG-003",4.3085624442858,"HUA"
"g__Faecalitalea",4.38368005740259,"HC"
"g__Fusobacterium",4.65859267270787,"HUA"
"g__Oscillibacter",4.74932580937401,"HUA"
"g__Veillonella",4.7897886679861,"Gout"
"g__Bifidobacterium",4.81874804333506,"HUA"
"g__Gemella",4.82238029139994,"HC"
"g__Anaerostipes",5.15110817391406,"HC"
"g__Parasutterella",5.1683647638396,"HUA"
"g__Tyzzerella",5.22353633760287,"Gout"
"g__Lachnospiraceae_UCG-010",5.2326995801097,"HUA"
"g__[Eubacterium]_coprostanoligenes_group",5.35585952262679,"HC"
"g__[Ruminococcus]_gnavus_group",5.66387242529444,"Gout"
"g__Lachnoclostridium",6.20830904981866,"Gout"
"g__Bilophila",6.27040229848885,"HUA"
"g__Lachnospiraceae_UCG-004",6.3406585417856,"Gout"
"g__Granulicatella",10.3984738987384,"HUA"
"g__Actinomyces",11.012625241759,"HC"
"g__Prevotella",14.4448738257563,"Gout"
